ID,2008_in_mil,2009_in_mil,Delta_2008-to-2009
Company_1,1461,1236,225
Company_2,3349,2665,684
Company_3,628,1734,-1106
Company_4,953,191,762
Company_5,1521,2404,-883
Company_6,3689,2831,858
Company_7,89,702,-613
Company_8,1444,1579,-135
Company_9,1246,1314,-68
Company_10,2107,1606,501
Company_11,2482,795,1687
Company_12,1808,1073,735
Company_13,3278,3784,-506
Company_14,3697,3450,247
Company_15,2916,2462,454
Company_16,3830,1187,2643
Company_17,3487,2906,581
Company_18,747,3059,-2312
Company_19,1321,931,390
Company_20,204,3330,-3126
Company_21,3148,327,2821
Company_22,2181,2081,100
Company_23,3788,3099,689
Company_24,1923,1315,608
Company_25,3045,3089,-44
Company_26,2859,15,2844
Company_27,1541,2372,-831
Company_28,398,2861,-2463
Company_29,1542,1065,477
Company_30,1112,1483,-371
