Name of Company,Rev 2008,Rev 2009,delta,l2008,l2009
Anglo American,5200,2600,2600,8065,4087
Associated British Foods,9300,8184,1116,833,553
Admiral,422.8,507.8,-85,144.3,211.8
Ashtead,1047.8,1073.5,-25.7,156.6,191
Antofagasta,3372.6,2962.6,410,2919,1959.7
Aviva,36527,34462,2065,8095,2685
Aveva,6273,3540,2733,101,133.9
Astrazeneca,31601,32804,-1203,8742,11739
Barclays,21153,29094,-7941,32346,41421
BAT,11792,14208,-2416,678,793
Barratt Developments,3554.7,2285,1269.7,313.6,407.8
BHP Group,59473,50211,9262,7237,11932
Berkeley,960.1,702.2,257.9,150,284.8
British Land,715,572,143,182,205
Bunzl,4177.3,4648.7,-471.4,569,673
BP,365700,246138,119562,38100,27700
Burberry,995,1202,-207,85.5,152.2
BT,20704,21390,-686,5486,4706
Coca Cola Hbc,6980.7,6543.6,437.1,650,538
Carnival plc (UK),14646,13157,1489,7522,6797
Centrica,20872,21963,-1091,556,679
Compass,11440,13444,-2004,579,588
Croda International,911.1,916.2,-5.1,57,154.9
CRH,3696,2749,947,456,663
DCC,5332,6400,-1068,100.5,123.7
Diageo,812,890,-78,714,914
Evraz,20380,8756,11624,4563,1700
Experian,3873,3880,-7,428,609
Ferguson,14814,14443,371,1262,1200
Fresnillo,72048,84994,-12946,211.9,312.2
GlaxoSmithKline,2435.2,2836.8,-401.6,4679,5254
Hargreaves Lansdown,120.3,132.8,-12.5,34,56
Halma,397.95,455.93,-57.98,34,35.7
HSBC,833.4,679.62,153.78,278871,250766
Hiscox,86735,130007,-43272,1341,11120
Intercontinental Hotels,1830.22,1538,292.22,3117,2737
3i,1605,2150,-545,796,734
Imperial Brands,20528,26517,-5989,642,1036
Informa,1278,1221.7,56.3,245.2,198.5
Intertek,1003,1237.3,-234.3,194,278.4
ITV,2029,1879,150,159,166
JD Sports Fashion,592,670,-78,49.6,54.2
Johnson Matthey,7499,7848,-349,124,134
Land Securities,284.8,314.9,-30.1,120.7,150.4
Legal & General,5275,5895,-620,405,578
Lloyds Banking,8030.75,12355,-4324.25,25100,38994
London Stock Exchange,546,671,-125,227,250.8
Micro Focus International,228.2,274.7,-46.5,126,168
Marks & Spencer,8309,8164,145,510,498
Melrose Industries,895.3,1298.5,-403.2,182,174.4
Morrison (Wm),6605,6726,-121,127,159
National Grid,1865,2601,-736,6712,6865
NMC Health,8576,9678,-1102,715,789
Pearson,3600,4000,-400,463,502
Relx,5334,6071,-737,496,461
Rolls-Royce,4755,4927,-172,491,553
Sainsbury (J),18911,19964,-1053,4376,4966
